
Automation & Simulator Engineer,לפני 4 שעות,ForeScout Technologies -- What we are doing: --  -- Forescout Technologies is the leader in device visibility and control. Our unified security platform enables enterprises and government agencies to gain complete situational awareness of their extended enterprise environments and orchestrate actions to reduce cyber and operational risk. Our technology works with disparate security tools to help accelerate incident response  break down silos  automate workflows and optimize existing investments. We are a company filled with people who are cyber obsessed and passionate about our products. We are all about inclusion and diversity! We work as a team  and everyone matters! Join us as we secure the world with our products. --  -- Forescout’s Centralized Engineering is seeking for an automation developer to be a part of customer oriented testing team   to build simulators  tests and to orchestrate them on hybrid complex tests environments. --  -- What will you do: --  -- Design and develop automation tests to run on hybrid environment (cloud and on-premise) -- Design and develop simulators to be part of the tests environments -- Write automation infrastructure to build complex environments on cloud -- Work with a large product base consisting of multiple product lines with complex interdependencies. -- Collaborate with various Engineering departments and leaders to deliver high-quality products. -- Involved with the customers’ environment and scenarios and replicate them in part of automation suite,Professional Skills: --- ---Must: --- ---4 years of experience as an automation tests developer ---Strong development ability in <span style="background-color:#FEE7D7;text-decoration:none">Python</span> Java and Bash. ---Familiarity with CI/CD methodologies preferably in SaaS environment. ---Good understanding of multiple forms of software testing throughout the entire SDLC : regression  functional  unit  black-box  white box  UAT  usability  performance testing  etc. ---Ability to work across product organizations on inter-area projects  help identify the critical paths of components  and resolve dependencies ---Advantages: ---Experience in AWS service offerings and capabilities ---Knowledge of Security/Cloud Technologies ---Experience with complex RCA and defect isolation ---Experience with microservice architectures and dockers ---Experience with building simulators ---Familiarity  with  Windows environments (Domain controllers  and different kind of servers) --- Personal Skills --- ---Ability to easily learn and apply new technologies. ---Ability to dive into unknown code while keeping eyes on the big-picture. ---Work well with others  but can work independently as well. ---Strong passion for releasing superb-quality  market leading class products. ---Execution driving force  able to own a product from A to Z. ---Team player with excellent communication and interpersonal skills.,5-6 שנים,מרכז  שרון  שפלה  יהודה ושומרון,רמת החייל,פיתוח כלי בדיקות  JAVA  מתכנת,משרה מלאה,
QA Automation Team Leader,לפני 7 שעות,reblaze -- Reblaze Technologies is a fast-moving company creating and providing the next generation of web security technologies and delivering them to our expanding global customers’ base. We’re at the forefront of multiple security trends  uniquely combining cloud computing  Big Data  Machine Learning  and other cutting-edge fields into an intelligent  dynamic  and robust cybersecurity SaaS platform running on public clouds or private clouds of the customer’s choice. -- We are looking for an experienced hands-on software QA Manager / Team Lead to join our R&D team. The ideal candidate will need a combination of technical and leadership skills  and passion to build a strong QA team and supporting processes. This role will provide exceptional career growth opportunities as you develop and acquire new security skills in the course of your duties  and help Reblaze to build scalable software development and release processes. --  -- Primary Responsibilities --  -- Be hands-on type of manager. -- Hire  manage and develop QA Engineers. -- Establish and drive new QA processes and procedures. -- Define and implement an effective test strategy  both manual and automated. -- Drive design and implementation of automation infrastructure and tests for full system coverage. -- Troubleshoot complex product issues  actively assisting developers to analyze and resolve bugs. -- Participate in the technical design  development  and testing of new features and products. -- Reflect product maturity status to management based on well defined KPI’s. -- Own and improve Reblaze software release management process. -- Always ask "why" and strive to do better!,BSc in Computer Science or equivalent. ---A team player that can thrive in a very dynamic environment. ---5+ years of experience with SaaS products  2+ years in management role. ---2+ years of experience in QA automation  including infrastructure development. ---Good understanding of web application architecture and cloud infrastructure. ---Understands web applications security challenges and vulnerabilities. ---Scripting and programming experience (Shell  <span style="background-color:#FEE7D7;text-decoration:none">Python</span>  JavaScript). ---Extensive experience working in Linux environment. ---Experience with Test Management Systems. ---Excellent English and communication skills.,3-4 שנים,מרכז,תל אביב,ראש צוות QA  מנהל QA,משרה מלאה,
Cyber Automation Engineer,לפני 8 שעות,QualiTest -- We are looking for an experienced QA engineer with an automation background  that wants to take the next step in their career towards an automation role. -- Responsibilities: -- Report bugs and errors to development teams -- Develop and apply testing processes for new and existing products to meet client needs -- Design  develop and execute automation scripts using open source tools -- Help troubleshoot issues -- Execute test cases (manual or automated) and analyze results -- Review and analyze system specifications -- Collaborate with QA Engineers to develop effective strategies and test plans,3+ years experience in manual QA testing. ---At least 1 year experience in automation testing. ---Strong knowledge in Java \ c# \ <span style="background-color:#FEE7D7;text-decoration:none">Python</span>. ---Analytical mind and problem-solving attitude ---Detailed oriented with strong organizational skills,3-4 שנים,מרכז  שרון  יהודה ושומרון,הרצליה,פיתוח כלי בדיקות  מהנדס QA  בדיקות אוטומטיות,משרה מלאה,
Access QA Testing Engineer,16/06/2020,קבוצת נישה -- לחברה מדהימה באיזור השרון דרוש/ה Access QA Testing Engineer לתפקיד הכולל בדיקות ידניות למוצר מרתק ומורכב בתחום הסלולר  כתיבת מסמכי בדיקה  בדיקות רגרסיה  ועוד. עבודה צמודה לצוותי המוצר והפיתוח,תואר ראשון טכנולוגי - יתרון ---נסיון בבדיקות ידניות למוצרי Wireless/Cellular/3G/2G/LTE - חובה ---ידע בשפות סקריפטים <span style="background-color:#FEE7D7;text-decoration:none">Python</span> או Perl - חובה,1-2 שנים,מרכז  שרון,כוכב יאיר,איש QA  מהנדס QA  איש אימות פיתוח,משרה מלאה,
QA Automation Engineer,16/06/2020,Align Technology -- Join a team that is changing millions of lives. Transforming smiles. Transforming lives. Transforming an industry. At Align Technology  we believe a great smile can transform a person’s life  so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system  and we have never lost sight of that spirit of innovation. Our teams are constantly pushing the boundaries of what’s possible. ... -- Join a team that is changing millions of lives. -- Transforming smiles. Transforming lives. Transforming an industry. --  -- At Align Technology  we believe a great smile can transform a person’s life  so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system  and we have never lost sight of that spirit of innovation. Our teams are constantly pushing the boundaries of what’s possible. --  -- Ready to join us? --  -- In this role  you will… -- Create   Enhance and maintain automation infrastructure for 3D scanners. --  -- Test integration of APIs with other applications -- Work with Agile/scrum team methodology -- You will be part of the scrum automation team. -- Automate test cases from the requirements -- Estimate testing scope  plan & monitor testing for the project. -- Work with bugs throughout their lifecycle -- Collaborate with other applications' teams,In this role  you’ll need …                                                                     ---Over 7 years of automation development experiences with the following languages: C#/<span style="background-color:#FEE7D7;text-decoration:none">Python</span>                                          ---Experience with <span style="background-color:#FEE7D7;text-decoration:none">Python</span> development  - 2+ year(s) - Must                                         ---Experience with object-oriented development and design                                         ---Understanding of REST API principles  HTTP and HTTPS protocols – advantage                           ---Knowledge of JavaScript  nodeJS – advantage                                         ---Experience with testing an application using API calls (no UI)                                         ---Experience with testing cloud services is an advantage (AWS) - advantage                                   ---Understanding of role and place of QA in SDLC  testing processes and methodologies               ---Analytic mindset  ability to systematize information and learn complex things quickly               ---Strong attention to details                                         ---English - upper-intermediate and above (written and spoken),7 שנים ומעלה,מרכז,אור יהודה,פיתוח כלי בדיקות  מהנדס QA  בדיקות אוטומטיות,משרה מלאה,
Automation/QA Manager,15/06/2020,High Tech Company -- We are a Cyber Intelligence company that is growing fast and creating a sustainable customer base around the world. -- Our product is exceptionally unique based on cutting edge technology. -- As part of our growth we are looking for a super strong QA/Automation manager to lead our QA Automation team to define  perform and program manual and automatic tests using advanced QA/Automation methods. The QA Manager will be responsible for ensuring sustainable quality of our products and services before customers' consumption. משרה 100640,o At least 5+ years of experience in managing QA/Automation team ---o Strong knowledge of software QA methodologies  tools and processes. ---o Proven work experience in software quality assurance (at 5+ years of experience) ---o Programming skills in Selenium/<span style="background-color:#FEE7D7;text-decoration:none">python</span> ---o Familiarity with Linux/Windows operating systems ---o Ability to dive deep into complex problems &amp; find their root cause ---o Good understanding and work with Mongo/Sql Databases ---o Experience in Agile/scrum environment ---o Bachelors degree in computer science/engineering or equivalent experience.,5-6 שנים,מרכז  שרון,באר שבע  אשדוד  תל אביב  ראשון לציון  נתניה  חיפה  נהריה  טבריה  ירושלים,ראש צוות QA  מהנדס QA  מנהל QA,משרה מלאה,
ר"צ קבוצת אימות פיתוח,15/06/2020,אליפסה הנדסה -- לחברה בתחום התעשייה הבטחונית דרוש/ה ר"צ קבוצת אימות פיתוח -- במסגרת התפקיד: -- · ניהול צוות אימות פיתוח -- · פיתוח מערכות אימות פיתוח -- · עבודת HO והרצת תהליכי אימות פיתוח -- · ניתוח מסמכי אפיון מערכת וכתיבת מסמכי בדיקות -- · אפיון ופיתוח טסטים אוטומטיים -- · בדיקת ביצועי מערכת לאימות תכן (POD) -- · הכרת תפעול המערכות וסיוע בפתרון תקלות פיתוח -- · בקרה ואישור מוכנות המערכות לקראת שחרור גרסאות חומרה/קושחה/תוכנה ללקוח -- · ליווי תהליך אימות הפיתוח וניסויים מול הלקוח בשטח,6+ שנות ניסיון בבדיקות ופיתוח מערכות בדיקה ברמת HO  כולל אפיון והגדרת אוטומציה ---3+ שנות נסיון בניהול והובלת צוותי אימות פיתוח ---היכרות וידע בקידוד שפות תכנות: <span style="background-color:#FEE7D7;text-decoration:none">Python</span> (שפה ראשית מובילה) ו/או #C ---בעל/ת יכולת ניתוח והבנה מערכתית והיכרות עם מתודולוגיות בדיקות ---נסיון עבודה מוכח עם קבוצות אינטגרציה/ פיתוח ועבודה עם צב"דים ---ניסיון בתחום בדיקת מערכות תקשורת  כולל RF ---ניסיון בפיתוח מערכות בדיקה ולדציה למערכות מבוססות RF - יתרון ---תואר ראשון בהנדסת חשמל/אלקטרוניקה/תקשורת/הנדסת תוכנה,5-6 שנים,מרכז  שפלה  דרום,יבנה,ראש צוות אימות פיתוח  בדיקות אוטומטיות  איש אימות פיתוח,משרה מלאה,
(QA Automation Engineer (Python,15/06/2020,QualiTest -- קווליטסט מחפשת מפתח/ת אוטומציה בפייטון לצוות הרפואי שלנו! -- המשרה כוללת פיתוח תשתיות אוטומציה וכתיבת קוד למערכות Embedded  Medical -- עבודה בצמוד לצוותי הפיתוח על מוצרים שונים ומסווגים. בואו להשפיע על בריאותנו!,ניסיון של לפחות 3 שנים בפיתוח אוטומציה ב<span style="background-color:#FEE7D7;text-decoration:none">פייטון</span> - חובה ---ידע ב <span style="background-color:#FEE7D7;text-decoration:none">PYTHON</span> - חובה  ---יכולת עמידה בריבוי משימות - חובה ---ניסיון קודם מחברות מדיקל בפיתוח אוטומציה ב<span style="background-color:#FEE7D7;text-decoration:none">פייטון</span> - יתרון משמעותי,3-4 שנים,מרכז  שרון,רמת גן,איש אימות פיתוח  בדיקות אוטומטיות  פיתוח כלי בדיקות,משרה מלאה,
QA Automation Lead,14/06/2020,QualiGate -- למרכז פיתוח חדשני שמוקם בימים אלו בחברה בינ"ל דרוש/ה Automation Lead | נסיון Hands-On מוכח ב- אוטומציה | נסיון בהובלת תהליכי QA ובדיקות בסביבת Web Cloud SaaS |,-  לפחות 4 שנות נסיון ב- Automation ----  נסיון עם Selenium - יתרון משמעותי ----  נסיון בפיתוח: JavaScript JS / TypeScript / <span style="background-color:#FEE7D7;text-decoration:none">Python</span> ----  נסיון בטכנולוגיות הבאות: REST | Cloud | SaaS |  ----  נסיון בהובלת בודקים | יתרון משמעותי. ----  נסיון קודם בהובלת איכות בדיקות  ותהליכי QA מ- Scratch,5-6 שנים,מרכז  שפלה,תל אביב,ראש צוות QA  בדיקות אוטומטיות  פיתוח כלי בדיקות,משרה מלאה,
דרוש/ה מהנדס/ת בדיקות ואוטומציה לחברת סייבר גדולה,13/06/2020,SQLink -- לחברת סייבר גדולה בשרון  דרוש/ה מהנדס/ת בדיקות ואוטומציה. -- השתלבות בפרויקט הדגל של החברה  לפיתוח תהליכי אוטומציה והרצת בדיקות אוטומציה למוצר. -- הזדמנות ללמוד טכנולוגיות חדישות בעולם הסייבר  בצוות מוכשר ומוביל.,נסיון של שנתיים בבדיקות ידניות- עדיפות למוצר MOBILE ---שנה ניסיון באוטומציה ב-<span style="background-color:#FEE7D7;text-decoration:none">Python</span>  ---יתרון גדול לבעלי הכרות עם תשתית Pytest  בעלי הכרות עם Selenium,1-2 שנים,מרכז  שרון  שפלה,הרצליה,בדיקות אוטומטיות  פיתוח כלי בדיקות  מהנדס QA,משרה מלאה,
